location	Township	range	meridian	rate								
1802004	18	20	4	0,07								
1802104	18	21	4	0,08								
1802204	18	22	4	0,1								
1802304	18	23	4	0,1								
1802404	18	24	4	0,09								
1802504	18	25	4	0,09								
1802604	18	26	4	0,11								
1802704	18	27	4	0,11								
1802803	18	28	3	0,05								
1802804	18	28	4	0,1								
1802903	18	29	3	0,05								
1802904	18	29	4	0,1								
1803003	18	30	3	0,05								
1803004	18	30	4	0,08								
1900104	19	1	4	0,05								
1900105	19	1	5	0,09								
1900204	19	2	4	0,06								
1900205	19	2	5	0,07								
1900304	19	3	4	0,07								
1900305	19	3	5	0,07								
1900404	19	4	4	0,07								
1900405	19	4	5	0,07								
1900504	19	5	4	0,07								
1900505	19	5	5	0,07								
1900604	19	6	4	0,07								
1900605	19	6	5	0,07								
1900704	19	7	4	0,06								
1900705	19	7	5	0,07								
1900804	19	8	4	0,06								
1900805	19	8	5	0,07								
1900904	19	9	4	0,05								
1901004	19	10	4	0,06								
1901104	19	11	4	0,06								
1901204	19	12	4	0,06								
1901304	19	13	4	0,05								
1901404	19	14	4	0,05								
1901504	19	15	4	0,06								
1901604	19	16	4	0,06								
1901704	19	17	4	0,06								
1901804	19	18	4	0,06								
1901904	19	19	4	0,07								
1902004	19	20	4	0,08								
1902104	19	21	4	0,08								
1902204	19	22	4	0,09								
1902304	19	23	4	0,1								
1902404	19	24	4	0,1								
1902504	19	25	4	0,1								
1902604	19	26	4	0,1								
1902703	19	27	3	0,05								
1902704	19	27	4	0,1								
1902803	19	28	3	0,05								
1902804	19	28	4	0,1								
1902903	19	29	3	0,05								
1902904	19	29	4	0,1								
2000104	20	1	4	0,06								
2000105	20	1	5	0,09								
2000204	20	2	4	0,06								
2000205	20	2	5	0,08								
2000304	20	3	4	0,07								
2000305	20	3	5	0,07								
2000404	20	4	4	0,07								
2000405	20	4	5	0,07								
2000504	20	5	4	0,07								
2000505	20	5	5	0,07								
2000604	20	6	4	0,07								
2000605	20	6	5	0,07								
2000704	20	7	4	0,06								
2000705	20	7	5	0,08								
2000804	20	8	4	0,06								
2000805	20	8	5	0,08								
2000904	20	9	4	0,05								
2000905	20	9	5	0,08								
2001004	20	10	4	0,05								
2001104	20	11	4	0,06								
2001204	20	12	4	0,06								
2001304	20	13	4	0,06								
2001404	20	14	4	0,06								
2001504	20	15	4	0,07								
2001604	20	16	4	0,08								
2001704	20	17	4	0,08								
2001804	20	18	4	0,08								
2001904	20	19	4	0,08								
2002004	20	20	4	0,07								
2002104	20	21	4	0,08								
2002204	20	22	4	0,09								
2002304	20	23	4	0,11								
2002404	20	24	4	0,12								
2002504	20	25	4	0,11								
2002604	20	26	4	0,12								
2002703	20	27	3	0,06								
2002704	20	27	4	0,1								
2002803	20	28	3	0,06								
2002804	20	28	4	0,1								
2002903	20	29	3	0,06								
2002904	20	29	4	0,1								
2100104	21	1	4	0,06								
2100105	21	1	5	0,12								
2100204	21	2	4	0,06								
2100205	21	2	5	0,09								
2100304	21	3	4	0,06								
2100305	21	3	5	0,08								
2100404	21	4	4	0,07								
2100405	21	4	5	0,08								
2100504	21	5	4	0,07								
2100505	21	5	5	0,08								
2100604	21	6	4	0,06								
2100605	21	6	5	0,08								
2100704	21	7	4	0,07								
2100705	21	7	5	0,08								
2100804	21	8	4	0,08								
2100805	21	8	5	0,08								
2100904	21	9	4	0,06								
2100905	21	9	5	0,08								
2101004	21	10	4	0,06								
2101104	21	11	4	0,06								
2101204	21	12	4	0,06								
2101304	21	13	4	0,06								
2101404	21	14	4	0,07								
2101504	21	15	4	0,09								
2101604	21	16	4	0,09								
2101704	21	17	4	0,09								
2101804	21	18	4	0,1								
2101904	21	19	4	0,09								
2102004	21	20	4	0,09								
2102104	21	21	4	0,09								
2102204	21	22	4	0,08								
2102304	21	23	4	0,09								
2102404	21	24	4	0,12								
2102504	21	25	4	0,13								
2102604	21	26	4	0,11								
2102703	21	27	3	0,06								
2102704	21	27	4	0,11								
2102803	21	28	3	0,06								
2102804	21	28	4	0,11								
2102903	21	29	3	0,06								
2102904	21	29	4	0,12								
2200104	22	1	4	0,05								
2200105	22	1	5	0,11								
